function,year,amount,sheet
754 Criminal justice assistance,1987,502.0,hist05z1
"Total, Administration of Justice",1987,8957.0,hist05z1
800 General Government:,1987,0.0,hist05z1
801 Legislative functions,1987,1572.0,hist05z1
802 Executive direction and management,1987,120.0,hist05z1
803 Central fiscal operations,1987,4761.0,hist05z1
804 General property and records management,1987,225.0,hist05z1
805 Central personnel management,1987,141.0,hist05z1
806 General purpose fiscal assistance,1987,1369.0,hist05z1
808 Other general government,1987,981.0,hist05z1
809 Deductions for offsetting receipts,1987,-623.0,hist05z1
"Total, General Government",1987,8546.0,hist05z1
900 Net Interest:,1987,0.0,hist05z1
901 Interest on Treasury debt securities (gross),1987,195242.0,hist05z1
902 Interest received by on-budget trust funds,1987,-29614.0,hist05z1
903 Interest received by off-budget trust funds,1987,-5290.0,hist05z1
908 Other interest,1987,-21732.0,hist05z1
(On-budget),1987,-21732.0,hist05z1
(Off-budget),1987,0.0,hist05z1
909 Other investment income,1987,0.0,hist05z1
"Total, Net Interest",1987,138606.0,hist05z1
(On-budget),1987,143897.0,hist05z1
(Off-budget),1987,-5290.0,hist05z1
950 Undistributed Offsetting Receipts:,1987,0.0,hist05z1
"951 Employer share, employee retirement (on-budget)",1987,-27259.0,hist05z1
"952 Employer share, employee retirement (off-budget)",1987,-3300.0,hist05z1
953 Rents and royalties on the Outer Continental Shelf,1987,-4021.0,hist05z1
954 Sale of major assets,1987,-1875.0,hist05z1
959 Other undistributed offsetting receipts,1987,0.0,hist05z1
"Total, Undistributed Offsetting Receipts",1987,-36455.0,hist05z1
(On-budget),1987,-33155.0,hist05z1
(Off-budget),1987,-3300.0,hist05z1
Total budget authority,1987,1033008.0,hist05z1
(On-budget),1987,835843.0,hist05z1
(Off-budget),1987,197165.0,hist05z1
On-budget unless otherwise stated,1987,0.0,hist05z1
050 National Defense:,1988,0.0,hist05z1
051 Department of Defense-Military:,1988,0.0,hist05z1
Military Personnel,1988,76584.0,hist05z1
Operation and Maintenance,1988,81589.0,hist05z1
Procurement,1988,80053.0,hist05z1
"Research, Development, Test, and Evaluation",1988,36517.0,hist05z1
Military Construction,1988,5349.0,hist05z1
Family Housing,1988,3199.0,hist05z1
Other,1988,418.0,hist05z1
"051 Subtotal, Department of Defense-Military",1988,283710.0,hist05z1
053 Atomic energy defense activities,1988,7749.0,hist05z1
054 Defense-related activities,1988,548.0,hist05z1
"Total, National Defense",1988,292007.0,hist05z1
150 International Affairs:,1988,0.0,hist05z1
151 International development and humanitarian assistance,1988,5022.0,hist05z1
152 International security assistance,1988,8598.0,hist05z1
153 Conduct of foreign affairs,1988,2628.0,hist05z1
154 Foreign information and exchange activities,1988,1054.0,hist05z1
155 International financial programs,1988,-123.0,hist05z1
"Total, International Affairs",1988,17179.0,hist05z1
"250 General Science, Space, and Technology:",1988,0.0,hist05z1
251 General science and basic research,1988,2521.0,hist05z1
"252 Space flight, research, and supporting activities",1988,8322.0,hist05z1
"Total, General Science, Space, and Technology",1988,10843.0,hist05z1
270 Energy:,1988,0.0,hist05z1
271 Energy supply,1988,3807.0,hist05z1
272 Energy conservation,1988,310.0,hist05z1
274 Emergency energy preparedness,1988,609.0,hist05z1
"276 Energy information, policy, and regulation",1988,620.0,hist05z1
"Total, Energy",1988,5347.0,hist05z1
300 Natural Resources and Environment:,1988,0.0,hist05z1
301 Water resources,1988,4295.0,hist05z1
302 Conservation and land management,1988,3062.0,hist05z1
303 Recreational resources,1988,1229.0,hist05z1
304 Pollution control and abatement,1988,4932.0,hist05z1
306 Other natural resources,1988,1852.0,hist05z1
"Total, Natural Resources and Environment",1988,15370.0,hist05z1
350 Agriculture:,1988,0.0,hist05z1
351 Farm income stabilization,1988,16267.0,hist05z1
352 Agricultural research and services,1988,1973.0,hist05z1
"Total, Agriculture",1988,18241.0,hist05z1
370 Commerce and Housing Credit:,1988,0.0,hist05z1
371 Mortgage credit,1988,8361.0,hist05z1
372 Postal service,1988,1458.0,hist05z1
(On-budget),1988,517.0,hist05z1
(Off-budget),1988,941.0,hist05z1
373 Deposit insurance,1988,10835.0,hist05z1
376 Other advancement of commerce,1988,2411.0,hist05z1
"Total, Commerce and Housing Credit",1988,23066.0,hist05z1
(On-budget),1988,22124.0,hist05z1
(Off-budget),1988,941.0,hist05z1
400 Transportation:,1988,0.0,hist05z1
401 Ground transportation,1988,18267.0,hist05z1
402 Air transportation,1988,6906.0,hist05z1
403 Water transportation,1988,2861.0,hist05z1
407 Other transportation,1988,107.0,hist05z1
"Total, Transportation",1988,28141.0,hist05z1
450 Community and Regional Development:,1988,0.0,hist05z1
451 Community development,1988,3546.0,hist05z1
452 Area and regional development,1988,5080.0,hist05z1
453 Disaster relief and insurance,1988,205.0,hist05z1
"Total, Community and Regional Development",1988,8830.0,hist05z1
"500 Education, Training, Employment, and Social Services:",1988,0.0,hist05z1
"501 Elementary, secondary, and vocational education",1988,9502.0,hist05z1
502 Higher education,1988,8932.0,hist05z1
503 Research and general education aids,1988,1470.0,hist05z1
504 Training and employment,1988,5327.0,hist05z1
505 Other labor services,1988,778.0,hist05z1
506 Social services,1988,8224.0,hist05z1
"Total, Education, Training, Employment, and Social Services",1988,34233.0,hist05z1
550 Health:,1988,0.0,hist05z1
551 Health care services,1988,36749.0,hist05z1
552 Health research and training,1988,7565.0,hist05z1
554 Consumer and occupational health and safety,1988,1313.0,hist05z1
"Total, Health",1988,45627.0,hist05z1
570 Medicare:,1988,0.0,hist05z1
571 Medicare,1988,78806.0,hist05z1
600 Income Security:,1988,0.0,hist05z1
601 General retirement and disability insurance (excluding social security),1988,5681.0,hist05z1
602 Federal employee retirement and disability,1988,47890.0,hist05z1
603 Unemployment compensation,1988,15217.0,hist05z1
604 Housing assistance,1988,9700.0,hist05z1
605 Food and nutrition assistance,1988,20700.0,hist05z1
609 Other income security,1988,29263.0,hist05z1
"Total, Income Security",1988,128452.0,hist05z1
650 Social Security:,1988,0.0,hist05z1
651 Social security,1988,221137.0,hist05z1
(On-budget),1988,4852.0,hist05z1
(Off-budget),1988,216285.0,hist05z1
700 Veterans Benefits and Services:,1988,0.0,hist05z1
701 Income security for veterans,1988,15911.0,hist05z1
"702 Veterans education, training, and rehabilitation",1988,366.0,hist05z1
703 Hospital and medical care for veterans,1988,10836.0,hist05z1
704 Veterans housing,1988,1497.0,hist05z1
705 Other veterans benefits and services,1988,798.0,hist05z1
"Total, Veterans Benefits and Services",1988,29408.0,hist05z1
750 Administration of Justice:,1988,0.0,hist05z1
751 Federal law enforcement activities,1988,5319.0,hist05z1
752 Federal litigative and judicial activities,1988,2926.0,hist05z1
753 Federal correctional activities,1988,1059.0,hist05z1
754 Criminal justice assistance,1988,316.0,hist05z1
"Total, Administration of Justice",1988,9620.0,hist05z1
800 General Government:,1988,0.0,hist05z1
801 Legislative functions,1988,1602.0,hist05z1
802 Executive direction and management,1988,128.0,hist05z1
803 Central fiscal operations,1988,5159.0,hist05z1
804 General property and records management,1988,63.0,hist05z1
805 Central personnel management,1988,145.0,hist05z1
806 General purpose fiscal assistance,1988,1963.0,hist05z1
808 Other general government,1988,1803.0,hist05z1
809 Deductions for offsetting receipts,1988,-694.0,hist05z1
"Total, General Government",1988,10170.0,hist05z1
900 Net Interest:,1988,0.0,hist05z1
901 Interest on Treasury debt securities (gross),1988,214047.0,hist05z1
902 Interest received by on-budget trust funds,1988,-34406.0,hist05z1
903 Interest received by off-budget trust funds,1988,-7416.0,hist05z1
908 Other interest,1988,-20426.0,hist05z1
(On-budget),1988,-20426.0,hist05z1
(Off-budget),1988,0.0,hist05z1
909 Other investment income,1988,0.0,hist05z1
"Total, Net Interest",1988,151799.0,hist05z1
(On-budget),1988,159215.0,hist05z1
(Off-budget),1988,-7416.0,hist05z1
950 Undistributed Offsetting Receipts:,1988,0.0,hist05z1
"951 Employer share, employee retirement (on-budget)",1988,-29037.0,hist05z1
"952 Employer share, employee retirement (off-budget)",1988,-4382.0,hist05z1
953 Rents and royalties on the Outer Continental Shelf,1988,-3548.0,hist05z1
954 Sale of major assets,1988,0.0,hist05z1
959 Other undistributed offsetting receipts,1988,0.0,hist05z1
"Total, Undistributed Offsetting Receipts",1988,-36967.0,hist05z1
(On-budget),1988,-32585.0,hist05z1
(Off-budget),1988,-4382.0,hist05z1
Total budget authority,1988,1091310.0,hist05z1
(On-budget),1988,885881.0,hist05z1
(Off-budget),1988,205429.0,hist05z1
On-budget unless otherwise stated,1988,0.0,hist05z1
050 National Defense:,1989,0.0,hist05z1
051 Department of Defense-Military:,1989,0.0,hist05z1
Military Personnel,1989,78477.0,hist05z1
Operation and Maintenance,1989,86179.0,hist05z1
Procurement,1989,79390.0,hist05z1
"Research, Development, Test, and Evaluation",1989,37526.0,hist05z1
Military Construction,1989,5738.0,hist05z1
Family Housing,1989,3276.0,hist05z1
Other,1989,200.0,hist05z1
"051 Subtotal, Department of Defense-Military",1989,290785.0,hist05z1
053 Atomic energy defense activities,1989,8100.0,hist05z1
054 Defense-related activities,1989,677.0,hist05z1
"Total, National Defense",1989,299563.0,hist05z1
150 International Affairs:,1989,0.0,hist05z1
151 International development and humanitarian assistance,1989,5295.0,hist05z1
152 International security assistance,1989,7666.0,hist05z1
153 Conduct of foreign affairs,1989,2773.0,hist05z1
154 Foreign information and exchange activities,1989,1126.0,hist05z1
155 International financial programs,1989,390.0,hist05z1
"Total, International Affairs",1989,17250.0,hist05z1
"250 General Science, Space, and Technology:",1989,0.0,hist05z1
251 General science and basic research,1989,2835.0,hist05z1
"252 Space flight, research, and supporting activities",1989,10097.0,hist05z1
"Total, General Science, Space, and Technology",1989,12932.0,hist05z1
270 Energy:,1989,0.0,hist05z1
271 Energy supply,1989,2789.0,hist05z1
272 Energy conservation,1989,314.0,hist05z1
274 Emergency energy preparedness,1989,422.0,hist05z1
"276 Energy information, policy, and regulation",1989,537.0,hist05z1
"Total, Energy",1989,4061.0,hist05z1
300 Natural Resources and Environment:,1989,0.0,hist05z1
301 Water resources,1989,4312.0,hist05z1
302 Conservation and land management,1989,4178.0,hist05z1
303 Recreational resources,1989,1409.0,hist05z1
304 Pollution control and abatement,1989,5068.0,hist05z1
306 Other natural resources,1989,2005.0,hist05z1
"Total, Natural Resources and Environment",1989,16973.0,hist05z1
350 Agriculture:,1989,0.0,hist05z1
351 Farm income stabilization,1989,18878.0,hist05z1
352 Agricultural research and services,1989,2006.0,hist05z1
"Total, Agriculture",1989,20884.0,hist05z1
370 Commerce and Housing Credit:,1989,0.0,hist05z1
371 Mortgage credit,1989,6614.0,hist05z1
372 Postal service,1989,2046.0,hist05z1
(On-budget),1989,436.0,hist05z1
(Off-budget),1989,1610.0,hist05z1
373 Deposit insurance,1989,51020.0,hist05z1
376 Other advancement of commerce,1989,2745.0,hist05z1
"Total, Commerce and Housing Credit",1989,62425.0,hist05z1
(On-budget),1989,60815.0,hist05z1
(Off-budget),1989,1610.0,hist05z1
400 Transportation:,1989,0.0,hist05z1
401 Ground transportation,1989,18605.0,hist05z1
402 Air transportation,1989,7494.0,hist05z1
403 Water transportation,1989,3112.0,hist05z1
407 Other transportation,1989,132.0,hist05z1
"Total, Transportation",1989,29342.0,hist05z1
450 Community and Regional Development:,1989,0.0,hist05z1
451 Community development,1989,3061.0,hist05z1
452 Area and regional development,1989,3512.0,hist05z1
453 Disaster relief and insurance,1989,1308.0,hist05z1
"Total, Community and Regional Development",1989,7881.0,hist05z1
"500 Education, Training, Employment, and Social Services:",1989,0.0,hist05z1
"501 Elementary, secondary, and vocational education",1989,10125.0,hist05z1
502 Higher education,1989,10934.0,hist05z1
503 Research and general education aids,1989,1547.0,hist05z1
504 Training and employment,1989,5392.0,hist05z1
505 Other labor services,1989,802.0,hist05z1
506 Social services,1989,8396.0,hist05z1
"Total, Education, Training, Employment, and Social Services",1989,37195.0,hist05z1
550 Health:,1989,0.0,hist05z1
551 Health care services,1989,42011.0,hist05z1
552 Health research and training,1989,8277.0,hist05z1
554 Consumer and occupational health and safety,1989,1397.0,hist05z1
"Total, Health",1989,51684.0,hist05z1
570 Medicare:,1989,0.0,hist05z1
571 Medicare,1989,85395.0,hist05z1
600 Income Security:,1989,0.0,hist05z1
601 General retirement and disability insurance (excluding social security),1989,5760.0,hist05z1
602 Federal employee retirement and disability,1989,50619.0,hist05z1
603 Unemployment compensation,1989,15761.0,hist05z1
604 Housing assistance,1989,9570.0,hist05z1
605 Food and nutrition assistance,1989,21432.0,hist05z1
609 Other income security,1989,31128.0,hist05z1
"Total, Income Security",1989,134270.0,hist05z1
650 Social Security:,1989,0.0,hist05z1
651 Social security,1989,233501.0,hist05z1
(On-budget),1989,5069.0,hist05z1
(Off-budget),1989,228432.0,hist05z1
700 Veterans Benefits and Services:,1989,0.0,hist05z1
701 Income security for veterans,1989,16451.0,hist05z1
"702 Veterans education, training, and rehabilitation",1989,303.0,hist05z1
703 Hospital and medical care for veterans,1989,11523.0,hist05z1
704 Veterans housing,1989,792.0,hist05z1
705 Other veterans benefits and services,1989,842.0,hist05z1
"Total, Veterans Benefits and Services",1989,29911.0,hist05z1
750 Administration of Justice:,1989,0.0,hist05z1
751 Federal law enforcement activities,1989,4965.0,hist05z1
752 Federal litigative and judicial activities,1989,3288.0,hist05z1
753 Federal correctional activities,1989,1553.0,hist05z1
754 Criminal justice assistance,1989,424.0,hist05z1
"Total, Administration of Justice",1989,10230.0,hist05z1
800 General Government:,1989,0.0,hist05z1
801 Legislative functions,1989,1785.0,hist05z1
802 Executive direction and management,1989,137.0,hist05z1
803 Central fiscal operations,1989,6021.0,hist05z1
804 General property and records management,1989,422.0,hist05z1
805 Central personnel management,1989,151.0,hist05z1
806 General purpose fiscal assistance,1989,2043.0,hist05z1
808 Other general government,1989,812.0,hist05z1
809 Deductions for offsetting receipts,1989,-893.0,hist05z1
"Total, General Government",1989,10479.0,hist05z1
900 Net Interest:,1989,0.0,hist05z1
901 Interest on Treasury debt securities (gross),1989,240845.0,hist05z1
902 Interest received by on-budget trust funds,1989,-40467.0,hist05z1
903 Interest received by off-budget trust funds,1989,-11395.0,hist05z1
908 Other interest,1989,-19857.0,hist05z1
(On-budget),1989,-19857.0,hist05z1
(Off-budget),1989,0.0,hist05z1
909 Other investment income,1989,0.0,hist05z1
"Total, Net Interest",1989,169127.0,hist05z1
(On-budget),1989,180522.0,hist05z1
(Off-budget),1989,-11395.0,hist05z1
950 Undistributed Offsetting Receipts:,1989,0.0,hist05z1
"951 Employer share, employee retirement (on-budget)",1989,-29425.0,hist05z1
"952 Employer share, employee retirement (off-budget)",1989,-4858.0,hist05z1
953 Rents and royalties on the Outer Continental Shelf,1989,-2929.0,hist05z1
954 Sale of major assets,1989,0.0,hist05z1
959 Other undistributed offsetting receipts,1989,0.0,hist05z1
"Total, Undistributed Offsetting Receipts",1989,-37212.0,hist05z1
(On-budget),1989,-32354.0,hist05z1
(Off-budget),1989,-4858.0,hist05z1
Total budget authority,1989,1195894.0,hist05z1
(On-budget),1989,982104.0,hist05z1
(Off-budget),1989,213790.0,hist05z1
On-budget unless otherwise stated,1989,0.0,hist05z1
050 National Defense:,1990,0.0,hist05z1
051 Department of Defense-Military:,1990,0.0,hist05z1
Military Personnel,1990,78876.0,hist05z1
Operation and Maintenance,1990,88361.0,hist05z1
Procurement,1990,81375.0,hist05z1
"Research, Development, Test, and Evaluation",1990,36455.0,hist05z1
Military Construction,1990,5130.0,hist05z1
Family Housing,1990,3143.0,hist05z1
Other,1990,-403.0,hist05z1
"051 Subtotal, Department of Defense-Military",1990,292936.0,hist05z1
053 Atomic energy defense activities,1990,9656.0,hist05z1
054 Defense-related activities,1990,661.0,hist05z1
"Total, National Defense",1990,303253.0,hist05z1
150 International Affairs:,1990,0.0,hist05z1
151 International development and humanitarian assistance,1990,5695.0,hist05z1
152 International security assistance,1990,8393.0,hist05z1
153 Conduct of foreign affairs,1990,2928.0,hist05z1
154 Foreign information and exchange activities,1990,1315.0,hist05z1
155 International financial programs,1990,473.0,hist05z1
"Total, International Affairs",1990,18805.0,hist05z1
"250 General Science, Space, and Technology:",1990,0.0,hist05z1
251 General science and basic research,1990,3167.0,hist05z1
"252 Space flight, research, and supporting activities",1990,11460.0,hist05z1
"Total, General Science, Space, and Technology",1990,14627.0,hist05z1
270 Energy:,1990,0.0,hist05z1
271 Energy supply,1990,3394.0,hist05z1
272 Energy conservation,1990,366.0,hist05z1
274 Emergency energy preparedness,1990,571.0,hist05z1
"276 Energy information, policy, and regulation",1990,595.0,hist05z1
"Total, Energy",1990,4925.0,hist05z1
300 Natural Resources and Environment:,1990,0.0,hist05z1
301 Water resources,1990,4332.0,hist05z1
302 Conservation and land management,1990,4362.0,hist05z1
303 Recreational resources,1990,1804.0,hist05z1
304 Pollution control and abatement,1990,5545.0,hist05z1
306 Other natural resources,1990,2077.0,hist05z1
"Total, Natural Resources and Environment",1990,18121.0,hist05z1
350 Agriculture:,1990,0.0,hist05z1
351 Farm income stabilization,1990,12144.0,hist05z1
352 Agricultural research and services,1990,2117.0,hist05z1
"Total, Agriculture",1990,14261.0,hist05z1
370 Commerce and Housing Credit:,1990,0.0,hist05z1
371 Mortgage credit,1990,9847.0,hist05z1
372 Postal service,1990,3573.0,hist05z1
(On-budget),1990,490.0,hist05z1
(Off-budget),1990,3083.0,hist05z1
373 Deposit insurance,1990,45624.0,hist05z1
376 Other advancement of commerce,1990,3946.0,hist05z1
"Total, Commerce and Housing Credit",1990,62989.0,hist05z1
(On-budget),1990,59906.0,hist05z1
(Off-budget),1990,3083.0,hist05z1
400 Transportation:,1990,0.0,hist05z1
401 Ground transportation,1990,19369.0,hist05z1
402 Air transportation,1990,8260.0,hist05z1
403 Water transportation,1990,3168.0,hist05z1
407 Other transportation,1990,143.0,hist05z1
"Total, Transportation",1990,30940.0,hist05z1
450 Community and Regional Development:,1990,0.0,hist05z1
451 Community development,1990,4060.0,hist05z1
452 Area and regional development,1990,4033.0,hist05z1
453 Disaster relief and insurance,1990,1725.0,hist05z1
"Total, Community and Regional Development",1990,9817.0,hist05z1
"500 Education, Training, Employment, and Social Services:",1990,0.0,hist05z1
"501 Elementary, secondary, and vocational education",1990,11293.0,hist05z1
502 Higher education,1990,11336.0,hist05z1
503 Research and general education aids,1990,1628.0,hist05z1
504 Training and employment,1990,6093.0,hist05z1
505 Other labor services,1990,817.0,hist05z1
506 Social services,1990,8349.0,hist05z1
"Total, Education, Training, Employment, and Social Services",1990,39516.0,hist05z1
550 Health:,1990,0.0,hist05z1
551 Health care services,1990,50425.0,hist05z1
552 Health research and training,1990,8948.0,hist05z1
554 Consumer and occupational health and safety,1990,1503.0,hist05z1
"Total, Health",1990,60876.0,hist05z1
570 Medicare:,1990,0.0,hist05z1
571 Medicare,1990,105882.0,hist05z1
600 Income Security:,1990,0.0,hist05z1
601 General retirement and disability insurance (excluding social security),1990,5672.0,hist05z1
602 Federal employee retirement and disability,1990,53588.0,hist05z1
603 Unemployment compensation,1990,18960.0,hist05z1
604 Housing assistance,1990,11263.0,hist05z1
605 Food and nutrition assistance,1990,25223.0,hist05z1
609 Other income security,1990,32523.0,hist05z1
"Total, Income Security",1990,147229.0,hist05z1
650 Social Security:,1990,0.0,hist05z1
651 Social security,1990,250641.0,hist05z1
(On-budget),1990,3766.0,hist05z1
(Off-budget),1990,246875.0,hist05z1
700 Veterans Benefits and Services:,1990,0.0,hist05z1
701 Income security for veterans,1990,16723.0,hist05z1
"702 Veterans education, training, and rehabilitation",1990,219.0,hist05z1
703 Hospital and medical care for veterans,1990,12168.0,hist05z1
704 Veterans housing,1990,561.0,hist05z1
705 Other veterans benefits and services,1990,872.0,hist05z1
"Total, Veterans Benefits and Services",1990,30543.0,hist05z1
750 Administration of Justice:,1990,0.0,hist05z1
751 Federal law enforcement activities,1990,5398.0,hist05z1
752 Federal litigative and judicial activities,1990,3827.0,hist05z1
753 Federal correctional activities,1990,2578.0,hist05z1
754 Criminal justice assistance,1990,774.0,hist05z1
"Total, Administration of Justice",1990,12577.0,hist05z1
800 General Government:,1990,0.0,hist05z1
801 Legislative functions,1990,1811.0,hist05z1
802 Executive direction and management,1990,296.0,hist05z1
803 Central fiscal operations,1990,6032.0,hist05z1
804 General property and records management,1990,2249.0,hist05z1
805 Central personnel management,1990,161.0,hist05z1
806 General purpose fiscal assistance,1990,2033.0,hist05z1
808 Other general government,1990,719.0,hist05z1
809 Deductions for offsetting receipts,1990,-361.0,hist05z1
"Total, General Government",1990,12940.0,hist05z1
900 Net Interest:,1990,0.0,hist05z1
901 Interest on Treasury debt securities (gross),1990,264691.0,hist05z1
902 Interest received by on-budget trust funds,1990,-46321.0,hist05z1
903 Interest received by off-budget trust funds,1990,-15991.0,hist05z1
908 Other interest,1990,-17542.0,hist05z1
(On-budget),1990,-17542.0,hist05z1
(Off-budget),1990,0.0,hist05z1
909 Other investment income,1990,0.0,hist05z1
"Total, Net Interest",1990,184837.0,hist05z1
(On-budget),1990,200828.0,hist05z1
(Off-budget),1990,-15991.0,hist05z1
950 Undistributed Offsetting Receipts:,1990,0.0,hist05z1
"951 Employer share, employee retirement (on-budget)",1990,-28044.0,hist05z1
"952 Employer share, employee retirement (off-budget)",1990,-5567.0,hist05z1
953 Rents and royalties on the Outer Continental Shelf,1990,-3004.0,hist05z1
954 Sale of major assets,1990,0.0,hist05z1
959 Other undistributed offsetting receipts,1990,0.0,hist05z1
"Total, Undistributed Offsetting Receipts",1990,-36615.0,hist05z1
(On-budget),1990,-31048.0,hist05z1
(Off-budget),1990,-5567.0,hist05z1
Total budget authority,1990,1286164.0,hist05z1
(On-budget),1990,1057765.0,hist05z1
(Off-budget),1990,228399.0,hist05z1
On-budget unless otherwise stated,1990,0.0,hist05z1
050 National Defense:,1991,0.0,hist05z1
051 Department of Defense-Military:,1991,0.0,hist05z1
Military Personnel,1991,84213.0,hist05z1
Operation and Maintenance,1991,117176.0,hist05z1
Procurement,1991,71739.0,hist05z1
"Research, Development, Test, and Evaluation",1991,36189.0,hist05z1
Military Construction,1991,5188.0,hist05z1
Family Housing,1991,3296.0,hist05z1
Other,1991,-41663.0,hist05z1
"051 Subtotal, Department of Defense-Military",1991,276140.0,hist05z1
053 Atomic energy defense activities,1991,11571.0,hist05z1
054 Defense-related activities,1991,1161.0,hist05z1
"Total, National Defense",1991,288872.0,hist05z1
150 International Affairs:,1991,0.0,hist05z1
151 International development and humanitarian assistance,1991,6777.0,hist05z1
152 International security assistance,1991,9061.0,hist05z1
153 Conduct of foreign affairs,1991,3236.0,hist05z1
154 Foreign information and exchange activities,1991,1242.0,hist05z1
155 International financial programs,1991,2369.0,hist05z1
"Total, International Affairs",1991,22685.0,hist05z1
"250 General Science, Space, and Technology:",1991,0.0,hist05z1
251 General science and basic research,1991,3454.0,hist05z1
"252 Space flight, research, and supporting activities",1991,13046.0,hist05z1
"Total, General Science, Space, and Technology",1991,16500.0,hist05z1
270 Energy:,1991,0.0,hist05z1
271 Energy supply,1991,4220.0,hist05z1
272 Energy conservation,1991,461.0,hist05z1
274 Emergency energy preparedness,1991,336.0,hist05z1
"276 Energy information, policy, and regulation",1991,369.0,hist05z1
"Total, Energy",1991,5386.0,hist05z1
300 Natural Resources and Environment:,1991,0.0,hist05z1
301 Water resources,1991,4370.0,hist05z1
302 Conservation and land management,1991,4593.0,hist05z1
303 Recreational resources,1991,1794.0,hist05z1
304 Pollution control and abatement,1991,6151.0,hist05z1
306 Other natural resources,1991,2309.0,hist05z1
"Total, Natural Resources and Environment",1991,19216.0,hist05z1
350 Agriculture:,1991,0.0,hist05z1
351 Farm income stabilization,1991,14564.0,hist05z1
352 Agricultural research and services,1991,2379.0,hist05z1
"Total, Agriculture",1991,16943.0,hist05z1
370 Commerce and Housing Credit:,1991,0.0,hist05z1
371 Mortgage credit,1991,7816.0,hist05z1
372 Postal service,1991,3812.0,hist05z1
(On-budget),1991,511.0,hist05z1
(Off-budget),1991,3301.0,hist05z1
373 Deposit insurance,1991,72789.0,hist05z1
376 Other advancement of commerce,1991,2926.0,hist05z1
"Total, Commerce and Housing Credit",1991,87342.0,hist05z1
(On-budget),1991,84041.0,hist05z1
(Off-budget),1991,3301.0,hist05z1
400 Transportation:,1991,0.0,hist05z1
401 Ground transportation,1991,19096.0,hist05z1
402 Air transportation,1991,8932.0,hist05z1
403 Water transportation,1991,3122.0,hist05z1
407 Other transportation,1991,251.0,hist05z1
"Total, Transportation",1991,31401.0,hist05z1
450 Community and Regional Development:,1991,0.0,hist05z1
451 Community development,1991,3694.0,hist05z1
452 Area and regional development,1991,4061.0,hist05z1
453 Disaster relief and insurance,1991,-2.0,hist05z1
"Total, Community and Regional Development",1991,7753.0,hist05z1
"500 Education, Training, Employment, and Social Services:",1991,0.0,hist05z1
"501 Elementary, secondary, and vocational education",1991,13130.0,hist05z1
502 Higher education,1991,12374.0,hist05z1
503 Research and general education aids,1991,1916.0,hist05z1
504 Training and employment,1991,6771.0,hist05z1
505 Other labor services,1991,808.0,hist05z1
506 Social services,1991,9143.0,hist05z1
"Total, Education, Training, Employment, and Social Services",1991,44141.0,hist05z1
550 Health:,1991,0.0,hist05z1
551 Health care services,1991,63879.0,hist05z1
552 Health research and training,1991,9863.0,hist05z1
554 Consumer and occupational health and safety,1991,1646.0,hist05z1
"Total, Health",1991,75387.0,hist05z1
570 Medicare:,1991,0.0,hist05z1
571 Medicare,1991,103208.0,hist05z1
600 Income Security:,1991,0.0,hist05z1
601 General retirement and disability insurance (excluding social security),1991,5911.0,hist05z1
602 Federal employee retirement and disability,1991,57104.0,hist05z1
603 Unemployment compensation,1991,27179.0,hist05z1
604 Housing assistance,1991,19779.0,hist05z1
605 Food and nutrition assistance,1991,29605.0,hist05z1
609 Other income security,1991,41547.0,hist05z1
"Total, Income Security",1991,181125.0,hist05z1
650 Social Security:,1991,0.0,hist05z1
651 Social security,1991,271253.0,hist05z1
(On-budget),1991,2722.0,hist05z1
(Off-budget),1991,268531.0,hist05z1
700 Veterans Benefits and Services:,1991,0.0,hist05z1
701 Income security for veterans,1991,17556.0,hist05z1
"702 Veterans education, training, and rehabilitation",1991,790.0,hist05z1
703 Hospital and medical care for veterans,1991,13194.0,hist05z1
704 Veterans housing,1991,744.0,hist05z1
705 Other veterans benefits and services,1991,983.0,hist05z1
"Total, Veterans Benefits and Services",1991,33267.0,hist05z1
750 Administration of Justice:,1991,0.0,hist05z1
751 Federal law enforcement activities,1991,6169.0,hist05z1
752 Federal litigative and judicial activities,1991,4614.0,hist05z1
753 Federal correctional activities,1991,1728.0,hist05z1
754 Criminal justice assistance,1991,853.0,hist05z1
"Total, Administration of Justice",1991,13364.0,hist05z1
800 General Government:,1991,0.0,hist05z1
801 Legislative functions,1991,2021.0,hist05z1
802 Executive direction and management,1991,188.0,hist05z1
803 Central fiscal operations,1991,6288.0,hist05z1
804 General property and records management,1991,2024.0,hist05z1
805 Central personnel management,1991,171.0,hist05z1
806 General purpose fiscal assistance,1991,2138.0,hist05z1
808 Other general government,1991,1451.0,hist05z1
809 Deductions for offsetting receipts,1991,-718.0,hist05z1
"Total, General Government",1991,13563.0,hist05z1
900 Net Interest:,1991,0.0,hist05z1
901 Interest on Treasury debt securities (gross),1991,285421.0,hist05z1
902 Interest received by on-budget trust funds,1991,-50426.0,hist05z1
903 Interest received by off-budget trust funds,1991,-20222.0,hist05z1
908 Other interest,1991,-20757.0,hist05z1
(On-budget),1991,-20757.0,hist05z1
(Off-budget),1991,0.0,hist05z1
909 Other investment income,1991,0.0,hist05z1
"Total, Net Interest",1991,194016.0,hist05z1
(On-budget),1991,214238.0,hist05z1
(Off-budget),1991,-20222.0,hist05z1
950 Undistributed Offsetting Receipts:,1991,0.0,hist05z1
"951 Employer share, employee retirement (on-budget)",1991,-30402.0,hist05z1
